cas operacie,cislo,index prvku,dlzka zoznamu,
1e-07,91,0,112,
2e-07,95,9,109,
2e-07,93,18,103,
7e-07,91,80,105,
9e-07,94,105,108,
1e-07,92,3,106,
2e-07,92,11,106,
6e-07,95,70,121,
8e-07,94,90,121,
9e-07,92,108,121,
7e-07,91,89,124,
3.6e-06,91,42,122,
6e-07,93,53,127,
6e-07,93,66,121,
3e-07,95,26,123,
3e-07,93,31,126,
4e-07,93,30,127,
1e-06,95,120,129,
5e-07,91,29,151,
4e-07,92,33,166,
4e-07,92,38,164,
1e-07,92,2,168,
9e-07,91,115,164,
6e-07,92,64,161,
9e-07,95,101,159,
1e-07,95,2,159,
1.2e-06,94,140,159,
1e-06,92,119,158,
4e-07,94,35,154,
1.2e-06,93,143,157,
1.2e-06,91,143,155,
5e-07,94,53,156,
5e-07,94,45,159,
4e-07,95,48,166,
3e-07,91,26,169,
2e-07,94,14,164,
1.1e-06,93,129,167,
9e-07,94,105,170,
5e-07,92,44,178,
3e-07,95,35,178,
9e-07,95,105,177,
1.6e-06,93,179,194,
2e-07,93,10,191,
1.4e-06,95,145,196,
1.1e-06,93,130,171,
2e-07,92,7,178,
6e-07,93,68,183,
1.4e-06,95,182,185,
4e-07,91,37,186,
1.1e-06,92,131,182,
8e-07,94,103,166,
1e-07,94,4,178,
8e-07,95,87,180,
1.3e-06,94,154,178,
3e-07,93,30,164,
1e-06,93,116,162,
5e-07,91,55,162,
1.2e-06,92,143,171,
6e-07,94,68,161,
1.1e-06,93,137,156,
8e-07,91,87,156,
9e-07,95,94,153,
1.1e-06,92,150,160,
2e-07,94,17,155,
6e-07,91,65,152,
6e-07,94,71,157,
7e-07,93,92,154,
1e-06,95,123,161,
7e-07,94,75,166,
7e-07,92,89,164,
1.2e-06,94,140,167,
5e-07,94,42,171,
4e-07,92,40,169,
6e-07,93,63,169,
1e-06,92,113,170,
6e-07,95,62,172,
1.1e-06,91,142,170,
1.3e-06,92,107,146,
1.2e-06,92,152,161,
8e-07,92,91,147,
