cas operacie,cislo,velkost frontu,,,,,,,
3.22E-05,15,14,,,,,0.0000235,3,2
2.40E-05,15,13,,,,,0.0000236,3,2
2.35E-05,15,13,,,,,0.000024,3,2
3.75E-05,15,12,,,,,0.0000235,3,2
3.40E-05,15,10,,,,,0.0000235,3,2
2.37E-05,15,11,,,,,0.0000234,3,2
2.34E-05,15,11,,,,,0.0000234,3,2
2.34E-05,15,9,,,,,0.0000325,3,2
2.33E-05,15,7,,,,,0.0000234,3,2
2.34E-05,15,7,,,,,0.0000232,3,2
2.35E-05,15,6,,,,,0.0000288,3,2
2.34E-05,15,7,,,,,0.0000302,3,2
2.32E-05,15,7,,,,,0.00003,3,2
2.31E-05,15,2,,,,,0.0000233,3,2
2.38E-05,15,2,,,,,0.0000245,3,2
2.34E-05,15,1,,,,,0.0000239,3,2
2.33E-05,15,1,,,,,0.0000235,3,2
2.35E-05,15,1,,,,,0.0000235,3,2
2.34E-05,15,5,,,,,0.0000233,3,2
2.33E-05,15,5,,,,,0.0000238,3,2
2.97E-05,15,4,,,,,0.0000365,3,2
2.89E-05,15,1,,,,,0.0000278,3,2
2.85E-05,15,1,,,,,0.0000296,3,2
2.33E-05,15,1,,,,,0.0000237,3,2
2.35E-05,15,3,,,,,0.0000235,3,2
2.32E-05,15,4,,,,,0.0000235,3,2
2.33E-05,15,5,,,,,0.0000237,3,2
2.34E-05,15,5,,,,,0.0000235,3,2
2.32E-05,15,7,,,,,0.0000236,3,2
2.34E-05,15,5,,,,,0.0000321,3,2
2.33E-05,15,5,,,,,0.0000321,3,2
2.37E-05,15,6,,,,,0.0000283,3,2
2.33E-05,15,5,,,,,0.0000282,3,2
2.34E-05,15,6,,,,,0.0000665,3,2
2.33E-05,15,6,,,,,0.0000329,3,2
2.34E-05,15,8,,,,,0.0000236,4,3
2.34E-05,15,6,,,,,0.0000234,22,3
2.33E-05,15,8,,,,,0.0000235,15,3
2.34E-05,15,8,,,,,0.0000236,15,3
2.33E-05,15,7,,,,,0.0000234,15,3
2.33E-05,15,7,,,,,0.0000233,15,3
2.33E-05,15,4,,,,,0.0000234,15,3
3.10E-05,15,9,,,,,0.0000235,15,3
3.47E-05,15,9,,,,,0.0000235,15,3
2.34E-05,15,9,,,,,0.0000235,15,3
2.86E-05,15,8,,,,,0.0000238,15,3
2.87E-05,15,7,,,,,0.0000236,15,3
