cas operacie,index prvku,dlzka zoznamu,,
1.81E-05,55,65,,
2.66E-05,7,68,,
1.91E-05,7,66,,
1.82E-05,5,66,,
1.80E-05,61,67,,
1.77E-05,67,68,,
1.89E-05,17,61,,
1.90E-05,37,69,,
1.88E-05,38,68,,
1.85E-05,45,69,,
2.13E-05,42,69,,
1.88E-05,49,73,,
1.86E-05,17,72,,
1.07E-05,0,74,,
1.97E-05,43,78,,
1.85E-05,12,77,,
1.83E-05,65,76,,
1.87E-05,51,78,,
1.93E-05,69,75,,
1.82E-05,73,80,,
2.04E-05,13,77,,
2.43E-05,55,76,,
3.61E-05,29,76,,
2.06E-05,35,75,,
1.89E-05,28,74,,
1.81E-05,2,73,,
1.88E-05,22,70,,
1.98E-05,47,69,,
1.86E-05,24,69,,
1.77E-05,3,75,,
1.79E-05,3,73,,
1.79E-05,69,73,,
1.06E-05,0,74,,
2.61E-05,43,75,,
1.79E-05,4,74,,
1.81E-05,11,71,,
1.78E-05,68,70,,
1.98E-05,25,70,,
1.88E-05,26,68,,
1.83E-05,14,67,,
1.82E-05,14,62,,
1.77E-05,61,62,,
2.44E-05,28,60,,
1.87E-05,21,62,,
1.83E-05,46,61,,
1.88E-05,34,59,,
2.35E-05,12,56,,
1.96E-05,27,61,,
1.95E-05,17,62,,
1.99E-05,39,62,,
1.95E-05,16,60,,
1.93E-05,20,58,,
1.81E-05,46,54,,
1.83E-05,9,50,,
2.07E-05,38,49,,
1.88E-05,45,48,,
1.90E-05,36,47,,
1.87E-05,7,50,,
2.32E-05,25,48,,
1.98E-05,3,49,,
2.58E-05,36,51,,
2.17E-05,48,50,,
1.27E-05,0,50,,
1.97E-05,16,46,,
1.91E-05,33,45,,
1.93E-05,22,45,,
1.98E-05,32,45,,
1.92E-05,29,44,,
2.19E-05,42,47,,
1.80E-05,43,48,,
1.84E-05,26,47,,
1.77E-05,45,46,,
1.92E-05,33,44,,
1.86E-05,26,45,,
1.77E-05,1,45,,
1.87E-05,19,44,,
1.93E-05,10,42,,
1.93E-05,17,42,,
1.82E-05,10,46,,
1.88E-05,16,49,,
1.83E-05,34,49,,
2.05E-05,26,49,,
1.91E-05,32,48,,
1.82E-05,33,48,,
1.83E-05,42,49,,
1.77E-05,47,48,,
1.90E-05,35,49,,
1.82E-05,3,49,,
1.85E-05,30,48,,
1.86E-05,19,49,,
1.87E-05,26,48,,
3.43E-05,36,51,,
1.83E-05,36,49,,
1.81E-05,42,49,,
1.81E-05,41,47,,
