cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
0.0001343,5,5,8,,,,
4.51E-05,1,1,10,,,,
0.0002029,6,6,11,,,,
0.0002229,9,9,11,,,,
0.0001646,6,6,15,,,,
0.0001784,7,7,11,,,,
2.27E-05,0,0,11,,,,
0.0001997,8,8,10,,,,
4.57E-05,1,1,12,,,,
0.000309,11,11,13,,,,
4.69E-05,1,1,13,,,,
0.0002454,10,10,12,,,,
0.0002008,8,8,12,,,,
0.0001559,6,6,8,,,,
2.27E-05,0,0,8,,,,
2.27E-05,0,0,8,,,,
0.0001114,4,4,5,,,,
0.000156,6,6,7,,,,
4.56E-05,1,1,3,,,,
4.50E-05,1,1,2,,,,
2.26E-05,0,0,1,,,,
2.25E-05,0,0,1,,,,
4.52E-05,1,1,2,,,,
2.27E-05,0,0,1,,,,
