cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.89E-05,18,16,20,,,,,0.0000759,3,0,19
1.81E-05,16,18,23,,,,,0.0000194,4,15,19
1.73E-05,7,2,25,,,,,0.0000182,18,17,19
1.85E-05,6,25,28,,,,,0.000018,17,13,19
1.80E-05,9,14,29,,,,,0.0000177,3,2,19
1.73E-05,16,1,29,,,,,0.0000192,2,6,19
1.82E-05,8,19,30,,,,,0.0000184,11,1,19
1.78E-05,14,12,32,,,,,0.0000184,1,2,19
1.76E-05,18,6,34,,,,,0.0000183,18,6,19
1.90E-05,1,16,25,,,,,0.0000181,14,5,19
1.77E-05,18,14,27,,,,,0.000018,1,14,19
1.95E-05,6,25,27,,,,,0.0000189,16,10,19
2.05E-05,4,15,26,,,,,0.0000176,19,2,19
1.81E-05,6,21,25,,,,,0.0000185,8,13,19
1.83E-05,10,16,27,,,,,0.0000185,1,5,19
1.80E-05,7,18,29,,,,,0.0000181,9,15,19
1.80E-05,6,8,30,,,,,0.0000181,16,11,19
1.85E-05,10,17,29,,,,,0.0000184,8,17,19
1.82E-05,5,9,30,,,,,0.0000187,8,6,19
1.79E-05,10,2,24,,,,,0.0000182,8,17,19
